C_1,C_2,h,r_0,Phi,RB,,
-0.2,0.2,0.1,0.44,0.63,"0
",,
-0.2,0.3,0.1,0.41,0.56,"0
",,
-0.1,-0.3,0.1,0.38,0.46,"0.2737
",,
-0.1,-0.2,0.1,0.41,0.53,"0.1702
",,
-0.1,-0.1,0.1,0.44,0.62,"0.0870
",,
-0.1,0,0.1,0.49,0.75,"0
",,
-0.1,0.1,0.1,0.45,0.64,"0
",,
-0.1,0.2,0.1,0.41,0.54,"0
",,
-0.1,0.3,0.1,0.38,0.46,"0
",,
0,-0.3,0.1,0.37,0.46,"0.3525
",,
0,-0.2,0.1,0.4,0.52,"0.3386
",,
0,-0.1,0.1,0.44,0.6,"0.3475
",,
0,0,0.1,0.45,0.64,"0.3642
",,
0,0.1,0.1,0.41,0.53,"0.0377
",,
0,0.2,0.1,0.38,0.45,"0
",,
0,0.3,0.1,0.35,0.39,"0
",,
0.1,-0.3,0.1,0.37,0.45,"0.4381
",,
0.1,-0.2,0.1,0.4,0.51,"0.4722
",,
0.1,-0.1,0.1,0.42,0.57,"0.5783
",,
0.1,0,0.1,0.41,0.53,"0.5743
",,
0.1,0.1,0.1,0.38,0.45,"0.2684
",,
0.1,0.2,0.1,0.35,0.39,"0.2006
",,
0.1,0.3,0.1,0.32,0.34,"0.0475
",,
0.2,-0.3,0.1,0.36,0.44,"0.5415
",,
0.2,-0.2,0.1,0.39,0.49,"0.6207
",,
0.2,-0.1,0.1,0.4,0.52,"0.7282
",,
0.2,0,0.1,0.38,0.45,"0.4555
",,
0.2,0.1,0.1,0.35,0.39,"0.3997
",,
0.2,0.2,0.1,0.32,0.34,"0.2879
",,
0.2,0.3,0.1,0.3,0.3,"0.2858
",,
0.3,-0.3,0.1,0.36,0.43,"0.6034
",,
0.3,-0.2,0.1,0.37,0.47,"0.6946
",,
0.3,-0.1,0.1,0.38,0.46,"0.7526
",,
0.3,0,0.1,0.35,0.39,"0.5718
",,
0.3,0.1,0.1,0.32,0.34,"0.3662
",,
0.3,0.2,0.1,0.3,0.3,"0.3433
",,
0.3,0.3,0.1,0.28,0.27,0.31,,
-0.3,-0.3,0.12,0.37,0.46,"0.1509
",,
-0.3,-0.2,0.12,0.4,0.53,"0
",,
-0.3,-0.1,0.12,0.43,0.6,"0
",,
-0.3,0,0.12,0.44,0.64,"0
",,
-0.3,0.1,0.12,0.43,0.6,"0
",,
-0.3,0.2,0.12,0.4,0.55,"0
",,
-0.3,0.3,0.12,0.38,0.5,"0
",,
-0.2,-0.3,0.12,0.37,0.46,"0.2027
",,
-0.2,-0.2,0.12,0.4,0.52,"0.0907
",,
-0.2,-0.1,0.12,0.43,0.61,"0
",,
-0.2,0,0.12,0.47,0.7,"0
",,
-0.2,0.1,0.12,0.46,0.68,"0
",,
-0.2,0.2,0.12,0.43,0.61,"0
",,
-0.2,0.3,0.12,0.4,0.55,"0
",,
-0.1,-0.3,0.12,0.37,0.45,"0.2744
",,
-0.1,-0.2,0.12,0.4,0.52,"0.2087
",,
-0.1,-0.1,0.12,0.44,0.61,"0.1006
",,
-0.1,0,0.12,0.48,0.73,"0
",,
-0.1,0.1,0.12,0.45,0.63,"0
",,
-0.1,0.2,0.12,0.4,0.53,"0
",,
-0.1,0.3,0.12,0.37,0.45,"0
",,
0,-0.3,0.12,0.37,0.45,"0.3557
",,
0,-0.2,0.12,0.4,0.51,"0.3440
",,
0,-0.1,0.12,0.43,0.59,"0.3443
",,
0,0,0.12,0.45,0.62,"0.3529
",,
0,0.1,0.12,0.4,0.52,"0.0079
",,
0,0.2,0.12,0.37,0.44,"0
",,
0,0.3,0.12,0.34,0.38,"0
",,
0.1,-0.3,0.12,0.36,0.44,"0.4488
",,
0.1,-0.2,0.12,0.39,0.5,"0.4836
",,
0.1,-0.1,0.12,0.42,0.55,"0.5639
",,
0.1,0,0.12,0.4,0.52,"0.5021
",,
0.1,0.1,0.12,0.37,0.44,"0.2769
",,
0.1,0.2,0.12,0.34,0.38,"0.1359
",,
0.1,0.3,0.12,0.32,0.33,"0.0270
",,
0.2,-0.3,0.12,0.36,0.43,"0.5427
",,
0.2,-0.2,0.12,0.38,0.47,"0.6047
",,
0.2,-0.1,0.12,0.4,0.51,"0.7124
",,
0.2,0,0.12,0.37,0.44,"0.4670
",,
0.2,0.1,0.12,0.34,0.38,"0.2994
",,
0.2,0.2,0.12,0.32,0.33,"0.2513
",,
0.2,0.3,0.12,0.3,0.29,"0.2441
",,
0.3,-0.3,0.12,0.35,0.42,"0.6032
",,
0.3,-0.2,0.12,0.37,0.46,"0.6895
",,
0.3,-0.1,0.12,0.37,0.45,"0.7518
",,
0.3,0,0.12,0.34,0.38,"0.4564
",,
0.3,0.1,0.12,0.32,0.33,"0.3268
",,
0.3,0.2,0.12,0.3,0.29,"0.2904
",,
0.3,0.3,0.12,0.28,0.26,0.27,,
-0.3,-0.3,0.14,0.36,0.44,"0.1785
",,
-0.3,-0.2,0.14,0.39,0.5,"0.0394
",,
-0.3,-0.1,0.14,0.42,0.57,"0
",,
-0.3,0,0.14,0.43,0.61,"0
",,
-0.3,0.1,0.14,0.42,0.57,"0
",,
-0.3,0.2,0.14,0.4,0.52,"0
",,
-0.3,0.3,0.14,0.37,0.48,"0
",,
-0.2,-0.3,0.14,0.36,0.44,"0.2273
",,
-0.2,-0.2,0.14,0.39,0.5,"0.1261
",,
-0.2,-0.1,0.14,0.43,0.58,"0
",,
-0.2,0,0.14,0.46,0.67,"0
",,
-0.2,0.1,0.14,0.45,0.65,"0
",,
-0.2,0.2,0.14,0.42,0.59,"0
",,
-0.2,0.3,0.14,0.4,0.52,"0
",,
-0.1,-0.3,0.14,0.36,0.43,"0.2937
",,
-0.1,-0.2,0.14,0.39,0.5,"0.2349
",,
-0.1,-0.1,0.14,0.43,0.58,"0.1370
",,
-0.1,0,0.14,0.47,0.7,"0
",,
-0.1,0.1,0.14,0.43,0.6,"0
",,
-0.1,0.2,0.14,0.4,0.5,"0
",,
-0.1,0.3,0.14,0.36,0.43,"0
",,
0,-0.3,0.14,0.36,0.43,"0.3708
",,
0,-0.2,0.14,0.39,0.49,"0.3589
",,
0,-0.1,0.14,0.42,0.57,"0.3576
",,
0,0,0.14,0.43,0.59,"0.3096
",,
